created,political_level
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
2017-07-06T12:52:18.420,canton
